year,month,day,date_pk,day_of_the_week,quarter,date
2013,01,01,0,Tuesday,1,2013-01-01
2013,01,07,1,Monday,1,2013-01-07
2013,01,19,2,Saturday,1,2013-01-19
2013,01,23,3,Wednesday,1,2013-01-23
2013,01,25,4,Friday,1,2013-01-25
2013,01,26,5,Saturday,1,2013-01-26
2013,02,02,6,Saturday,1,2013-02-02
2013,02,03,7,Sunday,1,2013-02-03
2013,02,09,8,Saturday,1,2013-02-09
2013,02,11,9,Monday,1,2013-02-11
2013,02,19,10,Tuesday,1,2013-02-19
2013,03,03,11,Sunday,1,2013-03-03
2013,03,04,12,Monday,1,2013-03-04
2013,03,07,13,Thursday,1,2013-03-07
2013,03,10,14,Sunday,1,2013-03-10
2013,03,11,15,Monday,1,2013-03-11
2013,03,13,16,Wednesday,1,2013-03-13
2013,03,21,17,Thursday,1,2013-03-21
2013,04,18,18,Thursday,2,2013-04-18
2013,04,21,19,Sunday,2,2013-04-21
2013,04,22,20,Monday,2,2013-04-22
2013,04,24,21,Wednesday,2,2013-04-24
2013,04,25,22,Thursday,2,2013-04-25
2013,04,28,23,Sunday,2,2013-04-28
2013,05,02,24,Thursday,2,2013-05-02
2013,05,04,25,Saturday,2,2013-05-04
2013,05,11,26,Saturday,2,2013-05-11
2013,05,12,27,Sunday,2,2013-05-12
2013,05,13,28,Monday,2,2013-05-13
2013,05,14,29,Tuesday,2,2013-05-14
2013,05,16,30,Thursday,2,2013-05-16
2013,05,18,31,Saturday,2,2013-05-18
2013,05,19,32,Sunday,2,2013-05-19
2013,05,23,33,Thursday,2,2013-05-23
2013,05,25,34,Saturday,2,2013-05-25
2013,06,07,35,Friday,2,2013-06-07
2013,06,10,36,Monday,2,2013-06-10
2013,06,15,37,Saturday,2,2013-06-15
2013,06,21,38,Friday,2,2013-06-21
2013,06,23,39,Sunday,2,2013-06-23
2013,06,27,40,Thursday,2,2013-06-27
2013,07,01,41,Monday,3,2013-07-01
2013,07,02,42,Tuesday,3,2013-07-02
2013,07,07,43,Sunday,3,2013-07-07
2013,07,12,44,Friday,3,2013-07-12
2013,07,13,45,Saturday,3,2013-07-13
2013,07,14,46,Sunday,3,2013-07-14
2013,07,20,47,Saturday,3,2013-07-20
