year,participant_id,total_custodies
2013,45,1
2013,24,2
2013,29,2
2013,18,2
2013,38,2
2013,9,3
2013,23,3
2013,31,3
2013,12,4
2013,16,4
2013,17,5
2013,19,7
2013,28,7
2013,5,11
2013,14,12
2013,0,13
2013,41,32
2013,42,64
2013,15,75
2013,21,90
2013,27,128
2014,3,1
2014,30,1
2014,36,2
2014,47,3
2014,39,4
2014,34,6
2014,45,7
2014,33,8
2014,2,10
2014,10,10
2014,1,11
2014,31,15
2014,43,19
2014,29,20
2014,24,21
2014,6,22
2014,40,28
2014,44,28
2014,16,31
2014,32,42
2014,28,49
2014,19,51
2014,23,54
2014,9,132
2014,7,134
2014,38,163
2014,14,167
2014,17,171
2014,26,199
2014,37,202
2014,42,232
2014,5,250
2014,12,257
2014,41,288
2014,18,391
2014,21,993
2014,27,1051
2014,15,1884
2014,0,1907
2015,25,1
2015,13,1
2015,35,1
2015,3,1
2015,8,1
2015,36,1
2015,46,2
2015,4,2
2015,39,10
2015,33,14
2015,30,15
2015,22,18
2015,1,21
2015,45,23
2015,34,24
2015,47,24
2015,2,26
2015,43,35
2015,29,35
2015,24,41
2015,10,45
2015,16,46
2015,6,48
2015,31,58
2015,44,62
2015,40,65
2015,28,74
2015,19,81
2015,23,119
2015,7,167
2015,17,187
2015,37,187
2015,32,221
2015,9,223
2015,14,410
2015,41,603
2015,26,678
2015,5,760
2015,42,766
2015,38,1038
2015,12,1106
2015,18,1197
2015,21,2141
2015,0,2760
2015,27,3502
2015,15,10675
2016,25,1
2016,46,1
2016,11,2
2016,4,2
2016,39,3
2016,22,9
2016,33,11
2016,2,17
2016,30,22
2016,6,22
2016,47,23
2016,34,25
2016,1,34
2016,43,38
2016,45,38
2016,44,46
2016,40,55
2016,24,57
2016,29,61
2016,16,71
2016,10,76
2016,31,90
2016,28,102
2016,23,146
2016,19,175
2016,7,192
2016,37,200
2016,32,295
2016,17,300
2016,9,429
2016,26,821
2016,14,864
2016,41,1043
2016,5,1337
2016,12,1395
2016,18,1442
2016,38,1444
2016,42,1585
2016,0,4366
2016,21,4572
2016,27,8578
2016,15,15266
2017,2,1
2017,4,1
2017,20,1
2017,8,1
2017,25,2
2017,46,4
2017,3,6
2017,43,7
2017,33,7
2017,39,9
2017,6,9
2017,30,16
2017,22,18
2017,44,24
2017,47,29
2017,34,53
2017,1,55
2017,40,62
2017,45,75
2017,24,79
2017,29,106
2017,16,110
2017,10,115
2017,28,147
2017,31,148
2017,32,238
2017,23,268
2017,37,287
2017,7,293
2017,26,307
2017,19,332
2017,17,613
2017,9,982
2017,18,1060
2017,14,1688
2017,41,1907
2017,5,2117
2017,38,2221
2017,12,2266
2017,42,3115
2017,0,6367
2017,21,9364
2017,27,16632
2017,15,22878
2018,2,1
2018,6,1
2018,43,2
2018,4,2
2018,22,3
2018,30,5
2018,47,5
2018,33,6
2018,44,7
2018,45,8
2018,34,12
2018,1,12
2018,24,15
2018,40,21
2018,29,25
2018,28,26
2018,16,36
2018,31,37
2018,32,42
2018,10,45
2018,23,46
2018,7,56
2018,26,59
2018,19,63
2018,37,66
2018,17,127
2018,18,210
2018,9,219
2018,14,313
2018,41,464
2018,38,490
2018,12,530
2018,5,533
2018,42,577
2018,0,1305
2018,21,1824
2018,27,2810
2018,15,4800
