month,year,percentage_crime_gravity
1,2013,6.666666666666666
1,2014,6.478454680534918
1,2015,7.659893490512383
1,2016,6.755212018942899
1,2017,9.257470072579885
1,2018,39.868301300926173
2,2013,8.627450980392156
2,2014,4.675581971272907
2,2015,6.057080812781138
2,2016,6.325186435142343
2,2017,8.116929022528042
2,2018,31.248996198939986
3,2013,14.901960784313725
3,2014,7.082714214957899
3,2015,8.435448011995243
3,2016,7.383013082212908
3,2017,8.698981996418135
3,2018,28.882702500133840
4,2013,9.019607843137254
4,2014,6.369489846458642
4,2015,8.541440463264567
4,2016,6.628200243136827
4,2017,8.330191346969554
5,2013,11.764705882352941
5,2014,7.350173353145121
5,2015,9.229098805646036
5,2016,6.706221762560557
5,2017,9.022999340182863
6,2013,9.803921568627450
6,2014,7.161961367013372
6,2015,7.758130396566878
6,2016,7.234227859125796
6,2017,8.823875954378357
7,2013,7.058823529411764
7,2014,6.706290242694403
7,2015,9.177395170880512
7,2016,7.259630214287010
7,2017,9.270430766330474
8,2013,7.843137254901960
8,2014,7.756315007429420
8,2015,9.017113903107388
8,2016,10.759711864714314
8,2017,7.842397963992836
9,2013,11.372549019607843
9,2014,7.082714214957899
9,2015,8.368233286800062
9,2016,9.876072795892076
9,2017,7.109529644641342
10,2013,5.490196078431372
10,2014,8.320950965824665
10,2015,8.869758544025645
10,2016,9.328107705985883
10,2017,7.940192289565463
11,2013,3.921568627450980
11,2014,7.350173353145121
11,2015,7.933922754769660
11,2016,9.837969263150254
11,2017,7.933122820246960
12,2013,3.529411764705882
12,2014,23.665180782565626
12,2015,8.952484359650483
12,2016,11.906446754849128
12,2017,7.653878782166085
